,income,employment,edu_ski_tra,health_depri,crime,hous_serv,living_env,cluster_id
1588,0.147,0.104,9.444,-0.399,0.555,26.025,19.68,0
1589,0.038,0.038,9.01,-1.045,0.514,18.175,22.421,2
1590,0.117,0.077,9.009,-0.176,1.01,28.503,25.883,0
1591,0.054,0.039,9.547,-0.759,0.125,22.162,17.872,2
1592,0.152,0.104,25.268,0.127,0.502,26.115,18.699,0
1593,0.113,0.064,13.651,-0.162,-0.061,20.139,23.158,0
1594,0.192,0.138,33.67,0.462,0.596,31.623,22.619,1
1595,0.188,0.14,22.31,0.137,0.995,28.934,37.964,1
1596,0.123,0.094,22.671,-0.08,0.723,39.067,24.339,0
1597,0.153,0.129,23.138,0.003,0.625,24.275,25.275,0
1598,0.248,0.165,39.367,0.424,0.86,41.193,29.395,1
1599,0.205,0.125,22.161,-0.075,0.393,46.506,16.914,1
1600,0.264,0.165,19.163,0.285,0.207,36.28,21.785,1
1601,0.134,0.071,15.451,-0.295,-0.111,33.862,22.994,0
1602,0.245,0.159,21.632,0.545,0.5,35.144,18.223,1
1603,0.274,0.204,35.123,0.694,0.54,36.727,16.448,1
1604,0.141,0.083,12.701,0.078,1.014,28.279,28.259,0
1605,0.169,0.121,15.066,0.213,-0.213,34.783,30.131,0
1606,0.187,0.111,18.73,0.021,0.438,32.057,33.586,0
1607,0.203,0.11,12.399,0.633,0.022,38.939,21.893,1
1608,0.236,0.117,13.562,0.444,0.952,30.843,21.783,1
1609,0.096,0.064,3.022,-0.716,0.759,25.977,35.805,0
1610,0.048,0.032,1.047,-1.165,1.036,19.907,35.508,2
1611,0.103,0.064,8.06,-0.327,0.448,25.256,38.75,0
1612,0.197,0.138,18.767,0.244,0.459,30.236,18.293,1
1613,0.188,0.101,14.452,0.037,-0.202,42.743,16.37,0
1614,0.1,0.083,11.06,-0.272,1.296,31.148,25.658,0
1615,0.101,0.074,10.981,-0.327,0.803,36.718,17.39,0
1616,0.218,0.151,26.785,-0.007,0.893,41.164,29.587,1
1617,0.199,0.156,22.16,0.336,0.693,31.719,26.83,1
1618,0.24,0.187,30.166,0.567,1.577,43.261,20.789,1
1619,0.105,0.066,6.374,-0.139,0.825,22.584,31.617,0
1620,0.282,0.17,37.645,0.33,0.433,45.776,21.524,1
1621,0.247,0.178,33.54,0.352,0.481,45.893,26.801,1
1622,0.265,0.21,38.038,0.644,0.659,37.666,17.952,1
1623,0.138,0.099,7.462,-0.105,-0.205,28.64,17.807,0
1624,0.072,0.067,2.054,-0.839,0.158,21.557,25.487,2
1625,0.128,0.071,9.598,-0.495,0.134,37.345,21.187,0
1626,0.093,0.082,8.921,0.055,0.546,38.12,28.412,0
1627,0.19,0.13,25.724,0.085,0.813,49.765,18.932,1
1628,0.187,0.133,29.65,0.399,1.171,40.096,27.442,1
1629,0.144,0.074,5.271,-0.248,1.065,21.431,44.378,0
1630,0.111,0.083,3.229,0.095,0.334,24.868,53.895,0
1631,0.091,0.056,5.35,-0.091,0.714,27.603,35.14,0
1632,0.14,0.084,11.525,0.316,0.945,28.276,40.896,0
1633,0.25,0.171,21.591,0.752,1.834,32.095,33.904,1
1634,0.183,0.114,11.795,0.022,0.763,26.78,38.605,0
1635,0.193,0.151,17.842,-0.38,0.662,30.132,23.529,1
1636,0.173,0.115,18.023,-0.147,0.332,25.182,20.882,0
1637,0.188,0.093,18.728,-0.455,0.814,37.596,32.136,0
1638,0.25,0.127,18.128,0.614,1.187,38.094,22.228,1
1639,0.152,0.089,17.514,-0.755,0.486,31.154,32.6,0
1640,0.196,0.1,19.697,0.17,0.729,35.171,31.051,1
1641,0.185,0.126,19.466,0.388,0.265,36.08,22.585,1
1642,0.139,0.081,18.257,-0.401,0.073,27.625,30.952,0
